id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	said	84.0	0.561	the way	36.0	0.2405	the ten thousand	18.0	0.1202	the ten thousand things	18.0	0.1202	from the point of view	8.0	0.0534	from the point of view of	8	0.0535
1	know	65.0	0.4341	ten thousand	24.0	0.1603	ten thousand things	18.0	0.1202	i don t know	8.0	0.0534	the point of view of	8.0	0.0534	a not yet beginning to be	6	0.0401
2	things	65.0	0.4341	the world	20.0	0.1336	don t know	12.0	0.0802	from the point of	8.0	0.0534	ruo of the north sea	7.0	0.0468	this is what i mean by	6	0.0401
3	way	62.0	0.4141	the ten	18.0	0.1202	heaven and earth	11.0	0.0735	the point of view	8.0	0.0534	a not yet beginning to	6.0	0.0401	ruo of the north sea said	6	0.0401
4	one	61.0	0.4074	thousand things	18.0	0.1202	the north sea	11.0	0.0735	point of view of	8.0	0.0534	not yet beginning to be	6.0	0.0401	if we regard a thing as	6	0.0401
5	like	55.0	0.3674	t know	16.0	0.1069	the point of	9.0	0.0601	the lord of the	7.0	0.0468	this is what i mean	6.0	0.0401	the ten thousand things there are	6	0.0401
6	man	54.0	0.3607	of heaven	15.0	0.1002	right and wrong	8.0	0.0534	lord of the river	7.0	0.0468	is what i mean by	6.0	0.0401	ten thousand things there are none	6	0.0401
7	great	50.0	0.334	said to	15.0	0.1002	from the point	8.0	0.0534	ruo of the north	7.0	0.0468	the lord of the river	6.0	0.0401	thousand things there are none that	6	0.0401
8	cannot	46.0	0.3072	the great	15.0	0.1002	point of view	8.0	0.0534	of the north sea	7.0	0.0468	of the north sea said	6.0	0.0401	things there are none that are	6	0.0401
9	men	42.0	0.2805	know that	15.0	0.1002	of view of	8.0	0.0534	how do i know	6.0	0.0401	if we regard a thing	6.0	0.0401	there are none that are not	6	0.0401
10	thousand	41.0	0.2738	i know	14.0	0.0935	i mean by	8.0	0.0534	a not yet beginning	6.0	0.0401	we regard a thing as	6.0	0.0401	there is a not yet beginning	4	0.0267
11	right	38.0	0.2538	a great	14.0	0.0935	a thing as	8.0	0.0534	not yet beginning to	6.0	0.0401	because there is a certain	6.0	0.0401	is a not yet beginning to	4	0.0267
12	make	34.0	0.2271	a man	14.0	0.0935	in the world	8.0	0.0534	yet beginning to be	6.0	0.0401	the ten thousand things there	6.0	0.0401	not yet beginning to be a	4	0.0267
13	never	34.0	0.2271	the sage	14.0	0.0935	lord of the	8.0	0.0534	is what i mean	6.0	0.0401	ten thousand things there are	6.0	0.0401	but he makes no show of	4	0.0267
14	words	33.0	0.2204	right and	14.0	0.0935	the piping of	7.0	0.0468	what i mean by	6.0	0.0401	thousand things there are none	6.0	0.0401	to it then among the ten	4	0.0267
15	go	32.0	0.2137	enough to	13.0	0.0868	i know that	7.0	0.0468	the north sea said	6.0	0.0401	things there are none that	6.0	0.0401	it then among the ten thousand	4	0.0267
16	heaven	30.0	0.2004	heaven and	13.0	0.0868	i have heard	7.0	0.0468	if we regard a	6.0	0.0401	there are none that are	6.0	0.0401	then among the ten thousand things	4	0.0267
