id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	right	96.0	0.6087	the state	58.0	0.3678	the general will	26.0	0.1649	the right of the	9.0	0.0571	in the state of nature	5.0	0.0317	the right of the first occupier	5	0.0317
1	state	80.0	0.5072	the right	38.0	0.2409	the right of	24.0	0.1522	the state of nature	7.0	0.0444	the right of the first	5.0	0.0317	the right of life and death	3	0.019
2	one	73.0	0.4628	the sovereign	37.0	0.2346	the state of	14.0	0.0888	in the state of	6.0	0.038	right of the first occupier	5.0	0.0317	of a nature superior to that	2	0.0127
3	people	68.0	0.4311	the people	32.0	0.2029	of the state	14.0	0.0888	of the general will	6.0	0.038	the right of the strongest	4.0	0.0254	a nature superior to that of	2	0.0127
4	man	57.0	0.3614	general will	29.0	0.1839	in order to	10.0	0.0634	in such a case	6.0	0.038	the right of life and	3.0	0.019	what do they gain if the	2	0.0127
5	general	47.0	0.298	right of	28.0	0.1775	as soon as	9.0	0.0571	a member of the	5.0	0.0317	right of life and death	3.0	0.019	at the price of his liberty	2	0.0127
6	laws	45.0	0.2853	the general	28.0	0.1775	in the state	9.0	0.0571	the state of war	5.0	0.0317	a member of the state	3.0	0.019	in the state of nature where	2	0.0127
7	sovereign	42.0	0.2663	the social	25.0	0.1585	right of the	9.0	0.0571	right of the first	5.0	0.0317	the general will is always	3.0	0.019	than the right of the strongest	2	0.0127
8	may	41.0	0.26	the whole	21.0	0.1332	the body politic	9.0	0.0571	of the first occupier	5.0	0.0317	on the part of the	3.0	0.019	keep it as long as i	2	0.0127
9	law	41.0	0.26	right to	21.0	0.1332	the right to	8.0	0.0507	to be able to	5.0	0.0317	a prince or a legislator	2.0	0.0127	it as long as i like	2	0.0127
10	men	40.0	0.2536	the body	19.0	0.1205	the social compact	8.0	0.0507	that the general will	5.0	0.0317	a member of the sovereign	2.0	0.0127	this does not mean that the	2	0.0127
11	nature	40.0	0.2536	the first	18.0	0.1141	the social contract	7.0	0.0444	the general will is	5.0	0.0317	is the basis of all	2.0	0.0127	right of the first occupier which	2	0.0127
12	cannot	38.0	0.2409	a people	18.0	0.1141	of the sovereign	7.0	0.0444	right of the strongest	4.0	0.0254	to the father and the	2.0	0.0127	that the general will is always	2	0.0127
13	always	37.0	0.2346	no longer	17.0	0.1078	of the first	7.0	0.0444	has a right to	4.0	0.0254	of a nature superior to	2.0	0.0127	the general will is always in	2	0.0127
14	particular	33.0	0.2092	may be	17.0	0.1078	state of nature	7.0	0.0444	the body of the	4.0	0.0254	a nature superior to that	2.0	0.0127	general will is always in the	2	0.0127
15	without	32.0	0.2029	a man	17.0	0.1078	in relation to	7.0	0.0444	is no longer a	4.0	0.0254	nature superior to that of	2.0	0.0127	will is always in the right	2	0.0127
