id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	worker	136.0	1.2902	the worker	114.0	1.0816	of the worker	27.0	0.2562	the product of his	8.0	0.0759	the product of his labor	6.0	0.0569	the relation of the worker to	4	0.038
1	labor	121.0	1.1479	of labor	34.0	0.3226	the product of	20.0	0.1898	the product of labor	8.0	0.0759	relation of the worker to	5.0	0.0475	the relationship of the worker to	3	0.0285
2	man	77.0	0.7305	of labour	31.0	0.2941	to the worker	13.0	0.1234	of the worker to	8.0	0.0759	the life of the species	5.0	0.0475	to the product of his labor	3	0.0285
3	labour	75.0	0.7115	the product	30.0	0.2846	op cit p	13.0	0.1234	the life of the	6.0	0.0569	according to the political economists	4.0	0.038	on the whim of the rich	2	0.019
4	life	58.0	0.5502	op cit	24.0	0.2277	the worker to	10.0	0.0949	as a result of	6.0	0.0569	the product of labor is	4.0	0.038	in the prices of provisions and	2	0.019
5	activity	56.0	0.5313	political economy	23.0	0.2182	of private property	10.0	0.0949	the accumulation of capital	6.0	0.0569	the relation of the worker	4.0	0.038	the prices of provisions and thus	2	0.019
6	product	45.0	0.4269	private property	22.0	0.2087	the relationship of	10.0	0.0949	the division of labour	6.0	0.0569	the interest of the worker	3.0	0.0285	prices of provisions and thus balance	2	0.019
7	workers	43.0	0.4079	product of	21.0	0.1992	for the worker	9.0	0.0854	product of his labor	6.0	0.0569	as a result of the	3.0	0.0285	the division of labour increases the	2	0.019
8	nature	43.0	0.4079	the workers	18.0	0.1708	division of labour	9.0	0.0854	the relationship of the	6.0	0.0569	as loss of the object	3.0	0.0285	by the reduction in the amount	2	0.019
9	one	37.0	0.351	the object	18.0	0.1708	the worker is	9.0	0.0854	a section of the	5.0	0.0474	the means of life in	3.0	0.0285	the reduction in the amount of	2	0.019
10	property	35.0	0.332	his labor	18.0	0.1708	the number of	9.0	0.0854	of the worker in	5.0	0.0474	means of life in the	3.0	0.0285	reduction in the amount of labour	2	0.019
11	production	35.0	0.332	of society	17.0	0.1613	the worker and	9.0	0.0854	to the product of	5.0	0.0474	becomes the worker the more	3.0	0.0285	in the amount of labour time	2	0.019
12	object	34.0	0.3226	the relationship	17.0	0.1613	the worker s	8.0	0.0759	the relation of the	5.0	0.0474	the relationship of the worker	3.0	0.0285	but at the same time he	2	0.019
13	political	33.0	0.3131	the capitalist	16.0	0.1518	relation to the	8.0	0.0759	relation of the worker	5.0	0.0474	relationship of the worker to	3.0	0.0285	at the same time he tells	2	0.019
14	means	32.0	0.3036	means of	15.0	0.1423	as a result	8.0	0.0759	life of the species	5.0	0.0474	in accordance with the standard	3.0	0.0285	the same time he tells us	2	0.019
15	capital	31.0	0.2941	man s	15.0	0.1423	the division of	8.0	0.0759	on account of the	4.0	0.038	to the product of his	3.0	0.0285	same time he tells us that	2	0.019
16	society	31.0	0.2941	estranged labor	15.0	0.1423	a state of	8.0	0.0759	the number of workers	4.0	0.038	the landowner and the capitalist	2.0	0.019	whilst according to the political economists	2	0.019
17	species	31.0	0.2941	relation to	14.0	0.1328	product of his	8.0	0.0759	at the same time	4.0	0.038	competition among the workers thus	2.0	0.019	the interest of the worker according	2	0.019
18	relationship	30.0	0.2846	worker and	14.0	0.1328	of political economy	8.0	0.0759	according to the political	4.0	0.038	a section of the workers	2.0	0.019	interest of the worker according to	2	0.019
19	wages	28.0	0.2656	state of	14.0	0.1328	product of labor	8.0	0.0759	to the political economists	4.0	0.038	on the whim of the	2.0	0.019	of the worker according to the	2	0.019
20	relation	28.0	0.2656	labor and	14.0	0.1328	of his labor	8.0	0.0759	the interest of the	4.0	0.038	the whim of the rich	2.0	0.019	the worker according to the political	2	0.019
21	becomes	28.0	0.2656	alienated labor	14.0	0.1328	the relation of	8.0	0.0759	in a state of	4.0	0.038	rise on account of the	2.0	0.019	worker according to the political economists	2	0.019
22	estrangement	28.0	0.2656	of capital	13.0	0.1233	of estranged labor	8.0	0.0759	product of labor is	4.0	0.038	in the prices of provisions	2.0	0.019	stands opposed to the interest of	2	0.019
23	work	27.0	0.2561	division of	13.0	0.1233	of alienated labor	8.0	0.0759	loss of the object	4.0	0.038	the prices of provisions and	2.0	0.019	when society is in a state	2	0.019
24	human	27.0	0.2561	worker to	13.0	0.1233	of the workers	7.0	0.0664	the more the worker	4.0	0.038	prices of provisions and thus	2.0	0.019	society is in a state of	2	0.019
25	thus	26.0	0.2467	cit p	13.0	0.1233	life of the	7.0	0.0664	means of life in	4.0	0.038	of provisions and thus balance	2.0	0.019	then the commodity is in great	2	0.019
26	estranged	26.0	0.2467	labor is	13.0	0.1233	the working class	7.0	0.0664	the estrangement of the	4.0	0.038	increases the division of labour	2.0	0.019	the separation of labor capital and	2	0.019
27	capitalist	25.0	0.2372	i e	12.0	0.1139	the accumulation of	7.0	0.0664	but for the worker	4.0	0.038	the division of labour increases	2.0	0.019	the worker produces the less he	2	0.019
28	private	25.0	0.2372	relationship of	12.0	0.1139	the fact that	7.0	0.0664	in accordance with the	4.0	0.038	division of labour increases the	2.0	0.019	to the product of labor as	2	0.019
29	cit	25.0	0.2372	the estrangement	12.0	0.1139	op cit pp	7.0	0.0664	the relationship in which	4.0	0.038	the accumulation of capital and	2.0	0.019	the means of life in the	2	0.019
30	competition	24.0	0.2277	the relation	12.0	0.1139	of the object	7.0	0.0664	subsistence of the worker	3.0	0.0285	to the level of a	2.0	0.019	means for the physical subsistence of	2	0.019
31	therefore	24.0	0.2277	of estranged	12.0	0.1139	the estrangement of	7.0	0.0664	section of the workers	3.0	0.0285	by the reduction in the	2.0	0.019	for the physical subsistence of the	2	0.019
32	alien	24.0	0.2277	life activity	12.0	0.1139	relation of the	7.0	0.0664	the prices of provisions	3.0	0.0285	the reduction in the amount	2.0	0.019	the physical subsistence of the worker	2	0.019
33	op	24.0	0.2277	number of	11.0	0.1044	of the species	7.0	0.0664	the raising of wages	3.0	0.0285	reduction in the amount of	2.0	0.019	more and more ceases to be	2	0.019
34	economy	23.0	0.2182	of production	11.0	0.1044	the non worker	7.0	0.0664	of capital increases the	3.0	0.0285	in the amount of labour	2.0	0.019	the act of production within the	2	0.019
35	fact	22.0	0.2087	capital and	10.0	0.0949	the worker the	6.0	0.0569	the standpoint of the	3.0	0.0285	the amount of labour time	2.0	0.019	in accordance with the standard and	2	0.019
36	men	21.0	0.1992	labour is	10.0	0.0949	section of the	6.0	0.0569	he tells us that	3.0	0.0285	but at the same time	2.0	0.019	accordance with the standard and the	2	0.019
37	produces	21.0	0.1992	of workers	10.0	0.0949	the life of	6.0	0.0569	to the worker and	3.0	0.0285	at the same time he	2.0	0.019	the product of his labor and	2	0.019
38	price	19.0	0.1802	the political	10.0	0.0949	a result of	6.0	0.0569	interest of the worker	3.0	0.0285	the same time he tells	2.0	0.019	product of his labor and to	2	0.019
39	whilst	17.0	0.1613	of private	10.0	0.0949	accumulation of capital	6.0	0.0569	worker according to the	3.0	0.0285	same time he tells us	2.0	0.019	and the relationship in which he	2	0.019
40	appears	17.0	0.1613	an alien	10.0	0.0949	as a worker	6.0	0.0569	of the worker is	3.0	0.0285	time he tells us that	2.0	0.019	the concept of estranged alienated labor	2	0.019
41	much	16.0	0.1518	relation of	10.0	0.0949	that the worker	6.0	0.0569	in relation to the	3.0	0.0285	as a human being but	2.0	0.019	the general nature of private property	2	0.019
42	physical	16.0	0.1518	the species	10.0	0.0949	the concept of	6.0	0.0569	in the form of	3.0	0.0285	of the soil and the	2.0	0.019	the relation of alienated labor to	2	0.019
43	us	16.0	0.1518	of alienated	10.0	0.0949	the doctrine of	6.0	0.0569	a result of the	3.0	0.0285	whilst according to the political	2.0	0.019	relation of the non worker to	2	0.019
44	working	16.0	0.1518	his work	9.0	0.0854	of labor is	6.0	0.0569	between the ages of	3.0	0.0285	interest of the worker according	2.0	0.019	of the non worker to the	2	0.019
