	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	god	60.0	2.6846	and god	24.0	1.0743	the lord god	20.0	0.8957	and god said let	7.0	0.3136	and there was evening and	6.0	0.2689	and there was evening and there	6	0.2691
1	said	26.0	1.1633	the earth	22.0	0.9848	of the heavens	10.0	0.4478	and god saw that	6.0	0.2688	there was evening and there	6.0	0.2689	there was evening and there was	6	0.2691
2	man	26.0	1.1633	the lord	20.0	0.8953	and god said	9.0	0.403	and there was evening	6.0	0.2688	was evening and there was	6.0	0.2689	was evening and there was morning	6	0.2691
3	earth	23.0	1.0291	lord god	20.0	0.8953	the heavens and	8.0	0.3583	there was evening and	6.0	0.2688	evening and there was morning	6.0	0.2689	evening and there was morning the	6	0.2691
4	shall	22.0	0.9843	the man	20.0	0.8953	god said let	8.0	0.3583	was evening and there	6.0	0.2688	and there was morning the	6.0	0.2689	and god saw that it was	5	0.2242
5	lord	20.0	0.8949	god said	15.0	0.6714	and god saw	7.0	0.3135	evening and there was	6.0	0.2688	and god saw that it	5.0	0.2241	god saw that it was good	5	0.2242
6	day	17.0	0.7606	the heavens	14.0	0.6267	the earth and	7.0	0.3135	and there was morning	6.0	0.2688	god saw that it was	5.0	0.2241	and god said let there be	3	0.1345
7	every	16.0	0.7159	you shall	13.0	0.5819	of the field	7.0	0.3135	there was morning the	6.0	0.2688	saw that it was good	5.0	0.2241	according to its kind and god	3	0.1345
8	let	15.0	0.6711	the garden	12.0	0.5372	the tree of	7.0	0.3135	of the heavens and	6.0	0.2688	and god said let the	4.0	0.1793	to its kind and god saw	3	0.1345
9	good	15.0	0.6711	the waters	11.0	0.4924	god saw that	6.0	0.2687	god saw that it	5.0	0.224	the expanse of the heavens	4.0	0.1793	its kind and god saw that	3	0.1345
10	tree	15.0	0.6711	the tree	11.0	0.4924	there was evening	6.0	0.2687	saw that it was	5.0	0.224	according to their kinds and	4.0	0.1793	kind and god saw that it	3	0.1345
11	heavens	14.0	0.6264	according to	10.0	0.4476	was evening and	6.0	0.2687	that it was good	5.0	0.224	the heavens and the earth	3.0	0.1345	in the expanse of the heavens	3	0.1345
12	eat	14.0	0.6264	the ground	9.0	0.4029	evening and there	6.0	0.2687	according to their kinds	5.0	0.224	and god said let there	3.0	0.1345	the expanse of the heavens to	3	0.1345
13	garden	13.0	0.5817	the woman	9.0	0.4029	there was morning	6.0	0.2687	god said let the	4.0	0.1792	god said let there be	3.0	0.1345	the birds of the heavens and	3	0.1345
14	woman	12.0	0.5369	heavens and	8.0	0.3581	was morning the	6.0	0.2687	according to its kind	4.0	0.1792	in the midst of the	3.0	0.1345	his work that he had done	3	0.1345
15	waters	11.0	0.4922	said let	8.0	0.3581	on the earth	6.0	0.2687	the expanse of the	4.0	0.1792	according to its kind and	3.0	0.1345	and god said let the waters	2	0.0897
16	made	11.0	0.4922	the expanse	8.0	0.3581	according to their	6.0	0.2687	expanse of the heavens	4.0	0.1792	to its kind and god	3.0	0.1345	and god said let the earth	2	0.0897
17	light	10.0	0.4474	tree of	8.0	0.3581	the man and	6.0	0.2687	to their kinds and	4.0	0.1792	its kind and god saw	3.0	0.1345	trees bearing fruit in which is	2	0.0897
18	according	10.0	0.4474	god saw	7.0	0.3133	of the tree	6.0	0.2687	the lord god had	4.0	0.1792	kind and god saw that	3.0	0.1345	bearing fruit in which is their	2	0.0897
19	called	9.0	0.4027	saw that	7.0	0.3133	saw that it	5.0	0.2239	then the lord god	4.0	0.1792	in the expanse of the	3.0	0.1345	fruit in which is their seed	2	0.0897
