id	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	said	59.0	2.2868	the master	36.0	1.3959	the master said	29.0	1.1249	the master said the	5.0	0.194	perfect virtue the master said	4.0	0.1553	asked about perfect virtue the master	3	0.1165
1	master	39.0	1.5116	master said	29.0	1.1245	the superior man	8.0	0.3103	the rules of propriety	4.0	0.1552	asked about perfect virtue the	3.0	0.1165	about perfect virtue the master said	3	0.1165
2	man	27.0	1.0465	the people	13.0	0.5041	master said the	5.0	0.1939	perfect virtue the master	4.0	0.1552	about perfect virtue the master	3.0	0.1165	hold faithfulness and sincerity as first	2	0.0777
3	tsze	21.0	0.814	a man	11.0	0.4265	tsze kung said	4.0	0.1552	virtue the master said	4.0	0.1552	what is contrary to propriety	3.0	0.1165	faithfulness and sincerity as first principles	2	0.0777
4	virtue	20.0	0.7752	superior man	10.0	0.3877	the rules of	4.0	0.1552	is contrary to propriety	4.0	0.1552	the master said it is	3.0	0.1165	said though i am deficient in	2	0.0777
5	asked	18.0	0.6977	tsze kung	9.0	0.349	rules of propriety	4.0	0.1552	the philosopher yu said	3.0	0.1164	a man of complete virtue	2.0	0.0776	though i am deficient in intelligence	2	0.0777
6	one	15.0	0.5814	asked about	9.0	0.349	perfect virtue the	4.0	0.1552	the philosopher tsang said	3.0	0.1164	i may have been not	2.0	0.0776	i am deficient in intelligence and	2	0.0777
7	people	14.0	0.5426	said the	9.0	0.349	virtue the master	4.0	0.1552	asked about perfect virtue	3.0	0.1164	hold faithfulness and sincerity as	2.0	0.0776	am deficient in intelligence and vigor	2	0.0777
8	men	12.0	0.4651	the superior	8.0	0.3102	is contrary to	4.0	0.1552	about perfect virtue the	3.0	0.1164	faithfulness and sincerity as first	2.0	0.0776	deficient in intelligence and vigor i	2	0.0777
9	may	12.0	0.4651	perfect virtue	8.0	0.3102	contrary to propriety	4.0	0.1552	what is contrary to	3.0	0.1164	and sincerity as first principles	2.0	0.0776	in intelligence and vigor i will	2	0.0777
10	kung	11.0	0.4264	the philosopher	6.0	0.2326	be heard of	4.0	0.1552	the master said it	3.0	0.1164	said though i am deficient	2.0	0.0776	intelligence and vigor i will make	2	0.0777
11	propriety	11.0	0.4264	may be	6.0	0.2326	fan ch ih	4.0	0.1552	master said it is	3.0	0.1164	though i am deficient in	2.0	0.0776	and vigor i will make it	2	0.0777
12	superior	10.0	0.3876	to propriety	6.0	0.2326	the philosopher yu	3.0	0.1164	cautious and slow in	3.0	0.1164	i am deficient in intelligence	2.0	0.0776	vigor i will make it my	2	0.0777
13	perfect	10.0	0.3876	man of	5.0	0.1939	philosopher yu said	3.0	0.1164	said the superior man	3.0	0.1164	am deficient in intelligence and	2.0	0.0776	i will make it my business	2	0.0777
