	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	said	176.0	1.1278	said to	123.0	0.7882	said to them	62.0	0.3973	and he said to	35.0	0.2243	and he said to them	26.0	0.1666	the chief priests and the scribes	6	0.0385
1	jesus	143.0	0.9163	he said	63.0	0.4037	he said to	48.0	0.3076	he said to them	35.0	0.2243	truly i say to you	12.0	0.0769	to him and said to them	4	0.0256
2	one	82.0	0.5254	and said	39.0	0.2499	and he said	42.0	0.2692	the son of man	15.0	0.0961	and jesus said to them	8.0	0.0513	chief priests and the scribes and	4	0.0256
3	man	73.0	0.4678	his disciples	32.0	0.2051	said to him	38.0	0.2435	i say to you	15.0	0.0961	the chief priests and the	8.0	0.0513	to enter the kingdom of god	4	0.0256
4	came	71.0	0.455	and jesus	31.0	0.1987	the son of	25.0	0.1602	the kingdom of god	14.0	0.0897	and they said to him	6.0	0.0385	a man with an unclean spirit	3	0.0192
5	went	52.0	0.3332	son of	28.0	0.1794	and said to	25.0	0.1602	and jesus said to	14.0	0.0897	chief priests and the scribes	6.0	0.0385	and he said to them do	3	0.0192
6	god	51.0	0.3268	of god	28.0	0.1794	jesus said to	20.0	0.1282	jesus said to them	13.0	0.0833	and jesus said to him	6.0	0.0385	said to them why are you	3	0.0192
7	disciples	49.0	0.314	the son	27.0	0.173	i say to	16.0	0.1025	truly i say to	12.0	0.0769	him and said to him	5.0	0.032	charged them to tell no one	3	0.0192
8	say	41.0	0.2627	began to	26.0	0.1666	and jesus said	15.0	0.0961	and said to him	11.0	0.0705	to him and said to	5.0	0.032	and the chief priests and the	3	0.0192
9	saying	40.0	0.2563	jesus said	25.0	0.1602	son of man	15.0	0.0961	him and said to	9.0	0.0577	the son of man is	4.0	0.0256	peter and james and john and	3	0.0192
10	come	40.0	0.2563	say to	22.0	0.141	say to you	15.0	0.0961	and said to them	9.0	0.0577	him and said to them	4.0	0.0256	truly i say to you whoever	3	0.0192
11	many	39.0	0.2499	and immediately	20.0	0.1282	the kingdom of	14.0	0.0897	they said to him	8.0	0.0513	peter and james and john	4.0	0.0256	it is better for you to	3	0.0192
12	son	38.0	0.2435	a man	20.0	0.1282	kingdom of god	14.0	0.0897	the chief priests and	8.0	0.0513	priests and the scribes and	4.0	0.0256	is better for you to enter	3	0.0192
13	immediately	36.0	0.2307	came to	20.0	0.1282	the chief priests	14.0	0.0897	chief priests and the	8.0	0.0513	to enter the kingdom of	4.0	0.0256	james the son of zebedee and	2	0.0128
14	crowd	34.0	0.2179	the crowd	20.0	0.1282	truly i say	12.0	0.0769	said to them why	6.0	0.0385	enter the kingdom of god	4.0	0.0256	the son of zebedee and john	2	0.0128
15	saw	33.0	0.2115	no one	20.0	0.1282	him and said	11.0	0.0705	and they came to	6.0	0.0385	the king of the jews	4.0	0.0256	him jesus heals a man with	2	0.0128
16	away	33.0	0.2115	the sea	19.0	0.1218	they came to	11.0	0.0705	to him and said	6.0	0.0385	a man with an unclean	3.0	0.0192	and crying out with a loud	2	0.0128
17	john	30.0	0.1922	the scribes	19.0	0.1218	and the scribes	10.0	0.0641	and they said to	6.0	0.0385	man with an unclean spirit	3.0	0.0192	crying out with a loud voice	2	0.0128
18	began	29.0	0.1858	he went	18.0	0.1153	and began to	9.0	0.0577	priests and the scribes	6.0	0.0385	and he was teaching them	3.0	0.0192	38 and he said to them	2	0.0128
19	things	29.0	0.1858	of man	18.0	0.1153	and they came	9.0	0.0577	jesus said to him	6.0	0.0385	he said to them do	3.0	0.0192	he said to them let us	2	0.0128
20	asked	28.0	0.1794	they came	16.0	0.1025	james and john	8.0	0.0513	to the other side	5.0	0.032	and said to him teacher	3.0	0.0192	said to them let us go	2	0.0128
21	see	27.0	0.173	i say	16.0	0.1025	the high priest	8.0	0.0513	said to him teacher	5.0	0.032	he said to them why	3.0	0.0192	and he said to them is	2	0.0128
22	us	25.0	0.1602	asked him	16.0	0.1025	a great crowd	8.0	0.0513	and james and john	5.0	0.032	said to them why are	3.0	0.0192	he went up on the mountain	2	0.0128
23	let	24.0	0.1538	kingdom of	15.0	0.0961	they said to	8.0	0.0513	king of the jews	5.0	0.032	his disciples said to him	3.0	0.0192	to whom he gave the name	2	0.0128
24	go	24.0	0.1538	the boat	15.0	0.0961	he began to	8.0	0.0513	as it is written	4.0	0.0256	and he said to her	3.0	0.0192	and john the brother of james	2	0.0128
25	people	23.0	0.1474	one of	15.0	0.0961	one of the	8.0	0.0513	with an unclean spirit	4.0	0.0256	and when he had entered	3.0	0.0192	called them to him and said	2	0.0128
26	spirit	22.0	0.141	went out	15.0	0.0961	chief priests and	8.0	0.0513	the high priest and	4.0	0.0256	baskets full of broken pieces	3.0	0.0192	them to him and said to	2	0.0128
