	1gram	1freq	1freqratio	2gram	2freq	2freqratio	3gram	3freq	3freqratio	4gram	4freq	4freqratio	5gram	5freq	5freqratio	6gram	6freq	6freqratio
0	god	290.0	2.6004	god is	64.0	0.5739	that you may	15.0	0.1345	o you who believe	11.0	0.0987	and know that god is	8.0	0.0718	in god and the last day	6	0.0538
1	said	72.0	0.6456	god and	33.0	0.2959	those who believe	13.0	0.1166	know that god is	10.0	0.0897	the heavens and the earth	7.0	0.0628	they have nothing to fear nor	5	0.0449
2	lord	51.0	0.4573	god s	32.0	0.287	know that god	13.0	0.1166	and know that god	9.0	0.0807	in god and the last	6.0	0.0538	god and know that god is	5	0.0449
3	people	50.0	0.4484	he said	26.0	0.2332	you who believe	11.0	0.0987	the heavens and the	7.0	0.0628	god and the last day	6.0	0.0538	and when it is said to	4	0.0359
4	say	50.0	0.4484	who believe	25.0	0.2242	that god is	11.0	0.0987	heavens and the earth	7.0	0.0628	in the cause of god	6.0	0.0538	when it is said to them	4	0.0359
5	believe	43.0	0.3856	of god	24.0	0.2152	and know that	11.0	0.0987	so that you may	7.0	0.0628	in what was revealed to	5.0	0.0449	of the heavens and the earth	4	0.0359
6	know	39.0	0.3497	god has	22.0	0.1973	in god and	9.0	0.0807	god is aware of	7.0	0.0628	they have nothing to fear	5.0	0.0449	have nothing to fear nor shall	4	0.0359
7	whoever	35.0	0.3138	the people	21.0	0.1883	of god and	9.0	0.0807	god is forgiving and	7.0	0.0628	have nothing to fear nor	5.0	0.0449	nothing to fear nor shall they	4	0.0359
8	us	33.0	0.2959	you may	19.0	0.1704	said to them	8.0	0.0717	god and know that	7.0	0.0628	fear nor shall they grieve	5.0	0.0449	to fear nor shall they grieve	4	0.0359
9	may	31.0	0.278	know that	19.0	0.1704	do not know	8.0	0.0717	in what was revealed	6.0	0.0538	god is forgiving and merciful	5.0	0.0449	are the inmates of the fire	4	0.0359
10	give	27.0	0.2421	that god	16.0	0.1435	god does not	8.0	0.0717	in god and the	6.0	0.0538	god and know that god	5.0	0.0449	lord they have nothing to fear	4	0.0359
11	except	25.0	0.2242	believe in	15.0	0.1345	is aware of	8.0	0.0717	god and the last	6.0	0.0538	as for those who disbelieve	4.0	0.0359	god is not unaware of what	4	0.0359
12	among	24.0	0.2152	said to	15.0	0.1345	the heavens and	8.0	0.0717	and the last day	6.0	0.0538	and when it is said	4.0	0.0359	fight in the cause of god	4	0.0359
13	good	24.0	0.2152	they say	15.0	0.1345	and the earth	8.0	0.0717	in the cause of	6.0	0.0538	when it is said to	4.0	0.0359	of god and know that god	4	0.0359
14	earth	23.0	0.2062	your lord	15.0	0.1345	of the fire	8.0	0.0717	the cause of god	6.0	0.0538	it is said to them	4.0	0.0359	the heavens and the earth and	3	0.0269
15	upon	22.0	0.1973	the earth	15.0	0.1345	you may be	8.0	0.0717	they ask you about	6.0	0.0538	of the heavens and the	4.0	0.0359	these are the inmates of the	3	0.0269
16	one	22.0	0.1973	they said	15.0	0.1345	what was revealed	7.0	0.0628	what was revealed to	5.0	0.0448	nothing to fear nor shall	4.0	0.0359	of the fire wherein they will	3	0.0269
17	fear	21.0	0.1883	the book	13.0	0.1166	among the people	7.0	0.0628	for those who disbelieve	5.0	0.0448	to fear nor shall they	4.0	0.0359	o children of israel remember my	3	0.0269
18	shall	20.0	0.1793	in god	13.0	0.1166	the last day	7.0	0.0628	believe in god and	5.0	0.0448	are the inmates of the	4.0	0.0359	which i bestowed upon you and	3	0.0269
19	revealed	19.0	0.1704	not know	13.0	0.1166	they say we	7.0	0.0628	you do not know	5.0	0.0448	the inmates of the fire	4.0	0.0359	believe in god and the last	3	0.0269
20	day	19.0	0.1704	to god	13.0	0.1166	what god has	7.0	0.0628	they have nothing to	5.0	0.0448	lord they have nothing to	4.0	0.0359	will have their reward with their	3	0.0269
